-32768,-32768,32767,-15965,828,924,467,1096,
-32768,-32768,32767,-13940,1141,352,490,942,
-32768,-32768,32767,-14438,14,127,1071,26,
-32768,-32768,32767,-13669,1123,966,517,875,
-32768,-32768,32767,-12970,1061,217,318,538,
-32768,-32768,32767,-11625,603,844,833,1369,
-32768,-32768,32767,-10827,2112,448,-235,2392,
-32768,-32768,32767,-8567,3529,1204,-127,2346,
-32768,-32768,32767,-8450,3869,747,-445,2249,
-32768,-32768,32767,-8125,3181,1685,-444,2888,
-32768,-32768,32767,-8392,3483,1491,-270,3318,
-32768,-32768,32767,-6995,3783,1612,-742,2959,
-32768,-32768,32767,-7392,3743,1320,-889,3744,
-32768,-32768,32767,-6959,2990,2199,-648,2773,
-32768,-32768,32767,-5830,2909,2290,-635,2997,
-32768,-32768,32767,-5825,3474,2420,-668,2855,
-32768,-32768,32767,-6302,3317,1796,-814,3442,
-32768,-32768,32767,-5464,2622,2783,-972,3829,
-32768,-32768,32767,-5278,2662,2482,-724,3244,
-32768,-32768,32767,-4990,2266,2299,-731,3353,
-32768,-32768,32767,-4412,2253,3239,-1370,3365,
-32768,-32768,32767,-4547,2521,3584,-1697,3846,
-32768,-32768,32767,-4497,1717,3502,-943,3731,
-32768,-32768,32767,-3563,1786,4424,-1656,3311,
-32768,-32768,32767,-4514,1810,4153,-1591,3783,
-32768,-32768,32767,-3336,1270,5184,-2660,3729,
-32768,-32768,32767,-3155,1184,5108,-2438,4231,
-32768,-32768,32767,-3523,1110,5683,-2396,3939,
-32768,-32768,32767,-3157,917,6725,-3418,4426,
-32768,-32768,32767,-2952,325,7006,-4525,3599,
-32768,-32768,32767,-3021,910,7147,-3516,3982,
-32768,-32768,32767,-3156,-30,7886,-5240,3979,
-32768,-32768,32767,-3087,-364,8887,-5308,4642,
-32768,-32768,32767,-2785,-163,10129,-6507,4024,
-32768,-32768,32767,-3279,-232,9461,-6167,4618,
-32768,-32768,32767,-2831,-630,10411,-6099,4437,
-32768,-18146,32767,-2470,-498,10540,-6678,4418,
-32768,821,32767,-2958,-803,11208,-7073,4804,
-32768,-9630,32767,-2884,-1108,11935,-7869,4569,
-32768,-12089,32767,-3226,-1060,12111,-8498,5050,
-32768,-7364,32767,-2331,-1792,14015,-8814,4426,
-32768,-9086,32767,-2829,-2132,13024,-8500,4637,
-32768,-4795,32767,-3104,-1544,13622,-9571,5495,
-32768,-8265,32767,-2882,-2147,14667,-9700,4297,
-32768,-2700,32767,-3021,-2705,15854,-10326,5584,
-32768,-4260,32767,-3379,-2317,15617,-10845,4535,
-32768,-1355,32767,-2849,-2335,15678,-10118,5119,
-32768,-3813,32767,-3193,-2237,15741,-9846,5168,
-31873,-1705,32767,-3630,-1988,17364,-11162,5441,
-24052,-571,31487,-3037,-2441,16987,-10235,5057,
-15144,542,28466,-2846,-2302,17664,-10435,5243,
-17899,-410,24571,-3295,-2001,18807,-11386,5214,
-21460,854,23190,-3169,-1980,19747,-9926,5136,
-18000,666,24681,-3320,-2210,20072,-10969,5365,
-17672,664,24627,-2994,-2154,20994,-10610,4827,
-16130,1120,23968,-3074,-1407,19783,-9611,4919,
-15664,2297,22817,-3116,-1688,20344,-9344,4755,
-14365,1604,22234,-2639,-1747,23397,-10433,4945,
-14933,783,20941,-2985,-1681,21866,-8387,5164,
-12224,934,19701,-2410,-1567,23262,-9050,4543,
-12419,1168,18917,-2664,-1298,23188,-8151,4542,
-10996,319,18046,-2082,-1387,24516,-8179,4473,
-10546,487,16790,-2469,-2183,24886,-7083,4211,
-9742,-368,16276,-1648,-1634,25220,-6616,4378,
-9207,-1243,16195,-1580,-1649,27098,-5985,4447,
-7997,-1079,14334,-1273,-2633,25031,-5234,3695,
-7232,-1646,13624,-837,-2580,26763,-4816,3326,
-7426,-2041,12814,-663,-2782,27445,-4402,3712,
-6947,-2556,11574,-1383,-3440,28523,-3364,3484,
-5695,-3414,11001,-503,-4239,29046,-2659,3720,
-5579,-2752,9814,-135,-4098,28905,-1984,3494,
-4951,-3882,9905,406,-4104,28788,-2127,2510,
-3960,-4886,8034,218,-5247,30042,-729,3153,
-3761,-5101,7786,569,-5096,29604,236,2783,
-2676,-6373,7124,1053,-5860,31085,259,2378,
-2111,-7133,5474,1081,-6490,31571,773,2451,
-2274,-6682,4778,1635,-6085,30866,1843,1860,
-1210,-7881,3935,2091,-7109,32767,2617,1716,
-1005,-8028,3740,1880,-6886,31619,2449,1735,
-346,-8824,3026,2451,-7102,32431,3006,1182,
297,-10908,1782,3431,-7379,32757,3684,877,
1290,-10144,996,2992,-8136,32767,4459,622,
1395,-10302,132,3816,-8165,32767,5155,407,
2347,-11890,545,3447,-7832,32615,4825,1065,
2547,-12082,136,4037,-8625,32767,5834,177,
3237,-12661,-968,5029,-9612,32767,7311,-245,
4034,-14406,-1180,4661,-9100,32767,6834,-330,
4438,-14772,-1701,4867,-9080,32767,7472,-108,
4839,-14672,-2769,5116,-9448,32767,7688,-1027,
6328,-14591,-4004,5791,-8446,32767,7825,-637,
5752,-15986,-3902,5813,-9544,32767,8455,-755,
6748,-16465,-4334,6745,-9645,32767,8745,-1360,
7020,-16357,-5066,6128,-8780,32767,9360,-848,
7556,-17167,-5360,6305,-9491,32767,9215,-1142,
8160,-17939,-5717,7480,-8955,31447,9215,-1197,
7871,-17111,-6506,6914,-8547,30533,9708,-1246,
9060,-18675,-6773,7984,-8325,30011,8635,-1502,
9125,-18934,-7625,8213,-9299,30290,9579,-1492,
9187,-18533,-7606,7554,-8495,30235,9816,-1744,
9700,-18649,-8593,8433,-8472,28263,9160,-1391,
9594,-20344,-9429,9030,-8247,27485,8514,-1913,
9391,-19470,-9243,8264,-8365,26145,8489,-1129,
10115,-19784,-9722,9174,-8543,26430,8449,-1368,
10120,-20039,-10146,9359,-8352,25110,7912,-1622,
9243,-19701,-10463,9949,-7938,23433,8224,-1481,
9802,-20572,-12131,10072,-7324,23112,7599,-803,
10065,-20251,-12392,10767,-7007,22019,6890,-1043,
9202,-19469,-12624,10108,-6953,21330,6212,-1612,
9306,-20215,-14148,11206,-6847,19787,5872,-1061,
8237,-19401,-14597,10507,-6190,19061,5577,-899,
9197,-21211,-15701,12522,-5602,17356,5006,-1022,
7864,-18445,-14482,11459,-4904,15780,4889,-878,
7976,-19233,-16533,11883,-4901,15961,3674,-707,
7709,-18161,-15708,11568,-3816,13917,3475,-1114,
7487,-18300,-17033,12396,-3003,12924,2508,-395,
6859,-18551,-18061,13166,-2657,11966,2057,-38,
6990,-17188,-18012,12505,-1451,10524,1283,-557,
5811,-17039,-17800,12561,-1263,9258,1086,-93,
6069,-17210,-19060,13995,-1076,8418,1050,-45,
6000,-15598,-17783,12697,-409,7885,-378,30,
5769,-14577,-17200,12660,747,5408,-974,-328,
4925,-13584,-20371,13437,1534,4504,-1502,715,
5226,-14265,-19199,13778,1820,3992,-1556,214,
4632,-13313,-18282,13556,2853,2382,-3453,39,
4466,-13079,-19211,13442,3196,1530,-3606,639,
3906,-10898,-19047,13722,3621,-88,-4267,679,
3318,-10198,-20106,13636,4365,-800,-4288,1505,
3301,-9425,-18407,13435,4973,-1385,-4580,937,
2566,-9159,-20058,14436,6066,-3938,-6480,1564,
2180,-8295,-19337,13655,6027,-3966,-6333,1326,
2085,-7686,-18041,14581,6828,-5785,-6887,1670,
2197,-7181,-18243,13688,6868,-5686,-6531,1940,
1022,-6454,-18885,14101,8028,-7768,-7753,2041,
1232,-5612,-18044,14169,8565,-8662,-8742,2250,
357,-3976,-17957,14232,9541,-9514,-9131,2251,
660,-3527,-17762,14978,9720,-10475,-9739,2511,
-409,-3117,-16605,14703,10397,-11476,-9815,3329,
-923,-2578,-17298,14273,11155,-12289,-10113,2742,
-347,-941,-16337,13964,11296,-13257,-10640,3124,
-1560,-88,-15377,14542,13120,-15110,-11863,3685,
-1908,-410,-15122,14568,11892,-14441,-10954,2990,
-1449,328,-14538,14006,13805,-15729,-12681,4306,
-2324,2695,-13706,14528,13706,-15874,-12299,4371,
-2749,3534,-13012,14500,14401,-17347,-13060,4832,
-2798,3995,-12859,13785,14911,-17380,-13257,4320,
-3448,5049,-11448,14175,15490,-17767,-13617,4312,
-3256,5988,-10932,13706,16051,-18828,-14267,5112,
-3994,6154,-10384,14131,16737,-19726,-14867,5124,
-3741,7715,-10072,13136,17563,-19989,-15833,5363,
-4554,8617,-9379,13578,17315,-19697,-15273,5733,
-3998,8840,-9479,13769,17969,-20234,-15563,5683,
-4885,9217,-7825,13379,19425,-20663,-17413,6025,
-5324,11655,-7504,13392,19315,-20466,-16765,6204,
-5115,10703,-6764,12827,19585,-20626,-16886,5969,
-5580,13299,-5815,13393,20984,-21110,-18418,6161,
-5280,13961,-5593,12388,21316,-22164,-19218,7363,
-5278,13875,-5819,11960,20819,-20742,-18555,6368,
-6098,14567,-4787,12477,22132,-21313,-18884,6966,
-5710,16041,-3701,11634,21872,-20981,-19353,7043,
-5424,17824,-2970,11790,23371,-21736,-19693,7245,
-5665,17634,-2402,11050,22272,-19866,-19286,7350,
-5536,18098,-1778,10209,23182,-20276,-19890,7115,
-5464,17814,-806,10663,24492,-19975,-20265,7419,
-5736,19917,-280,9777,23944,-20408,-20497,7684,
-5686,22283,1094,9605,25703,-20038,-21093,7720,
-6108,20413,859,8809,24839,-18953,-19735,7465,
-5829,22935,2864,9519,24898,-18470,-19976,7144,
-5625,22691,3307,7956,25408,-19281,-19895,7800,
-6047,23062,3545,7638,26009,-19098,-20778,8270,
-5801,24244,4283,7376,26565,-17842,-20116,7584,
-6078,24942,6026,6953,26189,-17333,-20076,7755,
-6312,25412,7368,6870,25550,-16497,-19255,7551,
-6224,26169,8550,5936,25961,-16038,-19914,7871,
-5810,26731,8303,5522,25154,-15603,-19019,7357,
-5634,27287,9920,5151,26270,-14221,-19789,7633,
-5787,26779,9667,5326,25505,-14096,-18999,7633,
-5839,28307,10750,4154,25136,-13510,-18667,7556,
-5617,28433,11999,3695,24081,-12151,-19405,7628,
-5800,27966,12897,4175,24833,-11011,-19664,7988,
-6515,32090,13822,2495,24138,-9527,-19122,7325,
-6451,28609,13005,3292,22956,-9643,-18770,8205,
-6669,30258,14079,2435,22296,-8517,-18298,7928,
-6093,29462,13446,2455,22027,-7795,-17855,7519,
-6473,31136,14309,1789,21041,-6733,-17692,7931,
-7168,31652,14793,1756,20289,-5101,-17555,8063,
-7398,29730,14796,1644,19238,-4599,-16941,7700,
-6931,29083,13902,1037,18432,-3552,-17007,7557,
-6673,30060,14642,810,17647,-1785,-16977,8304,
-7802,30884,15153,422,16286,-1763,-15987,7099,
-8129,31786,14390,-114,15593,-1011,-15351,7550,
