-32768,-32768,32767,-32768,760,859,1603,701,
-32768,-32768,32767,-32768,826,-311,352,774,
-32768,-32768,32767,-32768,1128,517,516,494,
-32768,-32768,32767,-32768,571,951,1173,509,
-32768,-32768,32767,-32768,895,318,-199,966,
-32768,-32768,32767,-32768,525,-10,395,884,
-32768,-32768,32767,-32768,678,-1355,-1422,1339,
-32768,-32768,32767,-32768,1427,-3270,-3576,1474,
-32768,-32768,32767,-26482,1114,-4477,-4304,1640,
-32768,-32768,32767,-9075,1594,-5117,-4115,1423,
-32768,-32768,32767,-8575,1825,-6038,-4150,1155,
-32768,-32768,32767,-18496,2090,-6281,-3644,1554,
-32768,-32768,32767,-11370,1734,-6929,-3274,1279,
-32768,-32768,32767,-12757,1683,-8205,-3201,689,
-32768,-32768,32767,-9381,1975,-9321,-2740,1027,
-32768,-32768,32767,-9152,1962,-9680,-3084,840,
-32768,-32768,32767,-7518,2653,-10682,-2417,1550,
-32768,-32768,32767,-6028,3026,-11381,-2601,827,
-32768,-32768,32767,-5220,3846,-11360,-3012,792,
-32768,-32768,32767,-4238,4637,-12185,-2960,1245,
-32768,-32768,32767,-2675,5358,-12301,-3705,1190,
-32768,-32768,32767,-2704,4627,-12696,-4377,1416,
-32768,-32768,32767,-1397,5332,-13735,-4039,843,
-32768,-32768,32767,-758,5292,-14995,-4184,1538,
-32768,-32768,32767,-1431,4909,-15387,-3866,2179,
-32768,-32768,32767,1079,5414,-16217,-4208,1646,
-32768,-32768,32767,1620,5176,-15990,-3963,1002,
-32768,-32768,32767,1191,5297,-16942,-3375,1611,
-32768,-32768,32767,1986,5361,-16678,-3548,2619,
-32768,-32768,32767,2933,5698,-16703,-3066,1729,
-32768,-32768,32767,3681,5896,-16753,-3030,1226,
-32768,-32768,32767,3337,6139,-16806,-2775,2247,
-32768,-32768,32767,3971,6038,-17239,-2372,1716,
-32768,-32768,32767,4399,6636,-18356,-1728,1687,
-32768,-32768,32767,4353,6669,-17512,-694,1452,
-32768,-32768,31409,4787,7999,-18207,279,1178,
-32768,-32768,20560,4497,8209,-17256,1012,1519,
-25420,-32768,11280,4264,8309,-16635,1185,1394,
-15262,-32768,18054,5243,9521,-16800,2223,1414,
-16452,-32768,19648,5226,10295,-17571,3279,946,
-20983,-32768,16096,5721,10840,-16161,3684,1264,
-17386,-32768,17274,5597,11313,-16180,3279,1357,
-18512,-32768,14187,6169,11746,-16377,4738,254,
-16450,-32768,15512,6101,11697,-16008,5195,53,
-15803,-32768,13957,6620,12683,-18065,6474,184,
-15318,-32768,14757,5392,11671,-17934,6708,-16,
-13470,-20359,13693,6052,12182,-18140,7426,-211,
-12057,-5448,14085,5834,13296,-19477,9120,-611,
-11285,-14442,12741,6610,13519,-19260,9758,-323,
-11137,-18095,12745,6989,14074,-18540,9551,-550,
-10391,-12493,12415,7362,14420,-17236,9672,-92,
-8882,-15399,11052,7417,16256,-17962,10596,491,
-8202,-11688,10595,7814,16784,-17033,9493,536,
-7251,-12785,10865,7712,16601,-15117,9072,280,
-6652,-9957,9828,8285,16907,-14196,9489,467,
-5849,-10863,10283,8526,18819,-13309,10349,187,
-5305,-7939,9562,9156,18185,-12099,9781,903,
-4310,-7187,7768,9582,18447,-10877,9121,763,
-3731,-5762,6983,9827,19478,-9995,9784,771,
-2199,-4032,5632,10143,18734,-8965,9756,-137,
-1538,-2967,4566,10328,17878,-9031,9648,888,
-723,-2932,3319,10774,17682,-8396,9394,884,
1408,-693,1641,11436,17761,-7540,10205,664,
702,-351,983,11291,17457,-6719,10340,309,
2395,2037,-1719,13333,16700,-6440,10824,692,
3131,2597,-4450,12980,17140,-6007,10463,797,
2467,2625,-4874,12944,17131,-4672,10969,905,
2534,2095,-5597,12808,16970,-3519,11496,1239,
2839,1905,-5218,12176,17552,-2571,10615,1167,
4430,3737,-7601,14240,15722,-2393,10928,1498,
4746,4183,-8046,13382,15941,-1194,11473,1287,
4818,3438,-8408,12983,15681,603,11547,2119,
4853,3524,-9094,12880,14152,598,11432,1347,
5280,3931,-9455,13350,13545,1684,11725,1655,
4919,3773,-9494,12868,13453,2147,12169,1698,
5496,4431,-11919,13620,12897,3534,11769,1291,
5818,4667,-11831,13056,12085,3780,12051,1862,
5924,3458,-12596,13165,10535,4341,11688,1985,
6043,2837,-13704,12575,11099,4741,11984,1547,
5998,1714,-15076,12504,9844,5037,11981,1912,
5811,2122,-14956,12161,9558,7138,12161,2319,
6296,1188,-15790,12274,9449,8445,11715,2236,
5946,18,-16406,12205,8492,8758,12309,2501,
5876,-392,-16920,11325,8232,10055,12260,2611,
6237,-1398,-19271,11927,7659,10420,11901,2856,
7157,-841,-19715,11876,6370,10123,11672,1975,
7844,-807,-21462,11638,4747,10913,11957,2842,
7009,-2893,-20381,10690,4647,11824,11670,3189,
6989,-2606,-19784,9845,4685,10747,11408,2883,
7150,-4520,-22854,9843,3949,12261,11753,3847,
7813,-7016,-22452,9620,4684,14135,11519,4431,
7822,-7744,-22813,8661,4145,14678,11007,4688,
7984,-8832,-21726,8740,3900,15075,10762,4478,
7831,-9287,-21404,8241,3265,16635,10686,4602,
7570,-10833,-22832,7927,3236,16669,10704,4976,
7947,-11298,-21428,7751,3345,17023,10800,5232,
8586,-13649,-21875,7467,2499,18880,12115,5280,
8669,-14176,-20970,6775,2126,20420,11486,5414,
8238,-14519,-19394,6567,2589,21069,11539,4806,
8254,-14771,-18649,5827,2991,21983,11443,5794,
8139,-14314,-17028,5498,2448,24781,11075,5683,
8577,-16737,-17287,4894,2316,25744,10832,5954,
7605,-16042,-14937,4522,1744,24842,9724,6106,
8050,-15671,-14038,3995,1793,25138,9698,5916,
6836,-15093,-12363,3788,1402,26920,8990,6642,
7899,-15344,-11181,3171,1222,27388,8644,6386,
7972,-15214,-10159,3199,1142,26953,8206,6049,
7574,-13467,-9345,3433,1152,28476,8637,7241,
6828,-13223,-8978,2554,676,28109,7700,6409,
7244,-11629,-8323,3076,142,30288,6614,7256,
6594,-12771,-8030,2593,-204,29784,6780,7114,
6888,-11800,-8141,3023,-1198,30216,6256,7091,
6190,-10941,-7913,2792,-2556,30206,5918,6712,
5308,-11275,-8194,2741,-3145,28624,6204,6679,
4229,-11966,-7839,2582,-3190,28716,6670,7015,
2414,-12554,-7217,3040,-4007,28961,6510,6565,
1884,-12652,-6184,2595,-3541,29963,6112,7180,
-135,-12676,-5296,1893,-4053,31820,5614,7616,
-395,-12577,-5531,2233,-4088,30550,5372,6983,
-909,-12548,-4035,2854,-3602,31445,4656,7736,
-2046,-12615,-3971,2624,-3418,31919,3726,6996,
-3175,-12306,-3497,2686,-3325,29757,3724,6670,
-2633,-11139,-3406,3237,-3583,30963,3406,7189,
-2564,-10304,-3079,3068,-3939,30153,2925,6241,
-2558,-8818,-2953,3195,-4671,29369,3276,6164,
-2950,-8936,-2501,3966,-4158,28097,3798,6674,
-3119,-7262,-2507,3497,-5250,27941,4172,5946,
-5166,-7018,-2573,3514,-5388,28496,3768,5995,
-5495,-6160,-2354,3198,-5025,26751,4044,6143,
-6582,-6210,-1066,2950,-5778,26836,3898,6191,
-7196,-4784,-227,3023,-6709,27375,3978,6256,
-6783,-5120,1087,3200,-5981,26455,3603,5902,
-9311,-4051,1451,2694,-5333,25050,2584,5647,
-10041,-2969,2595,2487,-6098,25231,2307,6229,
-9582,-4358,3107,2713,-6145,24932,1561,6274,
-12232,-2537,5034,2518,-5907,24909,710,6512,
-11072,-3245,5401,2557,-6280,24400,-295,6589,
-12449,-2703,7070,1750,-6091,22924,341,6672,
-13512,-3037,8935,1728,-6235,24006,-742,6738,
-12962,-2106,10144,2009,-6462,23334,-1533,7258,
-13355,-1371,10849,1887,-6052,22605,-1666,6910,
-13888,-1373,12662,1373,-4999,22357,-1793,7199,
-13173,-776,13816,1053,-4559,22420,-2788,7106,
-12795,782,12911,1745,-4201,24125,-4741,7471,
-13754,1525,15951,1210,-4071,24205,-5477,7198,
-12587,2299,15725,1228,-3688,24325,-5783,7614,
-12573,3782,16008,1363,-3470,24927,-5793,7586,
-12408,4075,17000,1110,-3079,24337,-6049,7434,
-11934,4966,16877,1268,-2588,26019,-8234,7156,
-11972,6183,17989,1494,-2782,25313,-8448,7692,
-11683,6517,18658,1125,-2557,25114,-7933,7398,
-11105,5488,18342,1035,-1926,25662,-8896,7502,
-12273,8331,21035,696,-1362,26081,-10159,8151,
-12015,8494,21303,716,-1312,26686,-10911,7641,
-12795,7596,20980,554,-795,26524,-11724,7862,
-12841,8287,23207,633,-497,27211,-13057,8662,
-13464,9279,25013,-194,679,26240,-13549,8184,
-13763,10043,24910,128,579,26973,-15891,8607,
-12879,8902,23889,534,1365,26644,-16974,8420,
-14707,10113,26701,239,1251,25573,-17287,8820,
-15434,10415,28287,781,2054,24697,-18652,9399,
-13784,10423,25810,128,2724,24694,-20177,8702,
-14846,10937,27892,-170,3118,23736,-21059,9202,
-14395,10634,28959,-56,2665,23373,-22537,9376,
-14184,10084,27766,-689,2783,23305,-22344,8892,
-13877,10778,30701,-1300,2609,21571,-22536,8415,
-13542,12097,30528,-607,3394,21230,-23366,7779,
-13719,13111,32015,-782,2355,19367,-21933,7810,
-13179,13726,31150,-109,1707,19000,-23104,7922,
-12884,12878,28735,124,1685,18483,-22318,7386,
-13411,13823,30009,-32,1342,16995,-22853,7444,
-13016,12789,28405,286,1091,15432,-22751,7393,
-13871,13682,29127,285,499,15268,-22317,6797,
-12930,12732,29540,17,28,14443,-21213,5939,
-12365,14422,30387,106,-932,12642,-21616,5980,
-12515,14328,29316,494,-1472,12374,-21059,5131,
-12149,15536,29527,290,-1905,10960,-19849,5384,
-12343,16387,29241,519,-3072,9997,-20288,4814,
-13719,14351,27900,785,-2864,9361,-19710,5382,
-14284,15131,27982,1039,-3056,9420,-19530,5057,
-15372,15649,28895,1577,-3198,9052,-19816,4531,
-15134,14007,26746,1577,-3051,8354,-19886,4382,
-15877,14674,26880,1721,-2810,7529,-18741,3833,
-16412,14885,26044,2051,-3260,6577,-18437,3689,
-16764,14041,26596,1302,-2868,6881,-17423,2871,
-15840,13115,24470,1929,-2284,6096,-17423,2625,
-17162,14130,25352,2190,-2066,4696,-17325,1230,
-17341,14594,24676,3103,-2072,4100,-15815,2235,
-15536,13893,23022,2818,-1344,3228,-15412,817,
-15416,14317,23210,2548,-842,2330,-15925,719,
-14909,15146,22945,2786,-797,1774,-14651,-299,
-14359,16165,22144,3043,-515,1430,-14203,-430,
